metric,left_out_domain,n_directed_pairs_remaining,mean_delta_without_domain,median_delta_without_domain,min_delta_without_domain,max_delta_without_domain,n_positive_without_domain,n_negative_without_domain,n_zero_without_domain
offdiag_cka,harmonic,6,0.003960401742581034,0.0025598264378403,0.0019975297336201,0.0109462692009886,6,0,0
offdiag_cka,ninapro_db10_meganepro,6,0.0034664766203199838,0.0028721267597832,-0.0018575030371473,0.011681066637845,5,1,0
offdiag_cka,physionet_grabmyo,6,0.0029324073033348166,0.00238701036540585,0.0018413695122925,0.0059507222822267,6,0,0
offdiag_cka,physionet_hyser,6,0.0052329434088977,0.00415927104793315,-0.0018575030371473,0.011681066637845,5,1,0
offdiag_knn_top1,harmonic,6,0.06705729166666667,0.03515625,-0.02734375,0.21484375,4,1,1
offdiag_knn_top1,ninapro_db10_meganepro,6,0.12630208333333334,0.044921875,-0.078125,0.63671875,4,2,0
offdiag_knn_top1,physionet_grabmyo,6,-0.031901041666666664,-0.03125,-0.578125,0.63671875,2,4,0
offdiag_knn_top1,physionet_hyser,6,-0.1015625,-0.0390625,-0.578125,0.21484375,2,3,1
offdiag_whitened_cka,harmonic,6,-0.0009002638800414169,-0.0004486392654601,-0.0029402095842378,5.0501648099499086e-08,1,5,0
offdiag_whitened_cka,ninapro_db10_meganepro,6,-6.0317537339237555e-09,3.879965549367925e-09,-1.631427596002211e-07,1.217210368990862e-07,4,2,0
offdiag_whitened_cka,physionet_grabmyo,6,-0.0010361731310268335,-0.0008461088283855,-0.0029606870713076,1.217210368990862e-07,1,5,0
offdiag_whitened_cka,physionet_hyser,6,-0.001185746477436617,-0.0006067949845027,-0.0029606870713076,7.607402999210144e-09,2,4,0
