metric,left_out_pair,left_out_delta,mean_delta_without_pair,median_delta_without_pair,n_positive_without_pair,n_negative_without_pair
offdiag_cka,harmonic->ninapro_db10_meganepro,0.0059507222822267,0.0037114513584703547,0.0024062009171721,10,1
offdiag_cka,harmonic->physionet_grabmyo,-0.0018575030371473,0.004421290023867991,0.0027134519585085,11,0
offdiag_cka,harmonic->physionet_hyser,0.0030308015610579,0.003976898696758427,0.0024062009171721,10,1
offdiag_cka,ninapro_db10_meganepro->harmonic,0.0023678198136396,0.004037169764705546,0.0027134519585085,10,1
offdiag_cka,ninapro_db10_meganepro->physionet_grabmyo,0.0109462692009886,0.0032573107294919996,0.0024062009171721,10,1
offdiag_cka,ninapro_db10_meganepro->physionet_hyser,0.0019975297336201,0.004070832499252773,0.0027134519585085,10,1
offdiag_cka,physionet_grabmyo->harmonic,0.011681066637845,0.003190510962505054,0.0024062009171721,10,1
offdiag_cka,physionet_grabmyo->ninapro_db10_meganepro,0.0023092855558336,0.004042491060869727,0.0027134519585085,10,1
offdiag_cka,physionet_grabmyo->physionet_hyser,0.0027134519585085,0.004005748660626554,0.0024062009171721,10,1
offdiag_cka,physionet_hyser->harmonic,0.0018413695122925,0.004085028883009827,0.0027134519585085,10,1
offdiag_cka,physionet_hyser->ninapro_db10_meganepro,0.0024062009171721,0.004033680573475318,0.0027134519585085,10,1
offdiag_cka,physionet_hyser->physionet_grabmyo,0.0033896730893633,0.003944274012367028,0.0024062009171721,10,1
offdiag_knn_top1,harmonic->ninapro_db10_meganepro,-0.578125,0.06889204545454546,0.03515625,6,4
offdiag_knn_top1,harmonic->physionet_grabmyo,-0.078125,0.0234375,0.03515625,6,4
offdiag_knn_top1,harmonic->physionet_hyser,0.63671875,-0.041548295454545456,0.0,5,5
offdiag_knn_top1,ninapro_db10_meganepro->harmonic,-0.22265625,0.036576704545454544,0.03515625,6,4
offdiag_knn_top1,ninapro_db10_meganepro->physionet_grabmyo,0.21484375,-0.0031960227272727275,0.0,5,5
offdiag_knn_top1,ninapro_db10_meganepro->physionet_hyser,0.03515625,0.013139204545454546,0.0,5,5
offdiag_knn_top1,physionet_grabmyo->harmonic,0.0546875,0.011363636363636364,0.0,5,5
offdiag_knn_top1,physionet_grabmyo->ninapro_db10_meganepro,0.0,0.016335227272727272,0.03515625,6,5
offdiag_knn_top1,physionet_grabmyo->physionet_hyser,0.14453125,0.0031960227272727275,0.0,5,5
offdiag_knn_top1,physionet_hyser->harmonic,-0.03515625,0.01953125,0.03515625,6,4
offdiag_knn_top1,physionet_hyser->ninapro_db10_meganepro,-0.02734375,0.018821022727272728,0.03515625,6,4
offdiag_knn_top1,physionet_hyser->physionet_grabmyo,0.03515625,0.013139204545454546,0.0,5,5
offdiag_whitened_cka,harmonic->ninapro_db10_meganepro,-0.0029606870713076,-0.0005823528626789276,-1.631427596002211e-07,4,7
offdiag_whitened_cka,harmonic->physionet_grabmyo,1.5252809952570612e-10,-0.0008515062466639913,-0.0002093254215773,3,8
offdiag_whitened_cka,harmonic->physionet_hyser,-1.631427596002211e-07,-0.0008514914016378366,-0.0002093254215773,4,7
offdiag_whitened_cka,ninapro_db10_meganepro->harmonic,-0.0010042645474281,-0.000760209455758882,-1.631427596002211e-07,4,7
offdiag_whitened_cka,ninapro_db10_meganepro->physionet_grabmyo,-0.0029402095842378,-0.0005842144524125458,-1.631427596002211e-07,4,7
offdiag_whitened_cka,ninapro_db10_meganepro->physionet_hyser,-0.0015640926363597,-0.0007093159931287368,-1.631427596002211e-07,4,7
offdiag_whitened_cka,physionet_grabmyo->harmonic,7.607402999210144e-09,-0.0008515069243798911,-0.0002093254215773,3,8
offdiag_whitened_cka,physionet_grabmyo->ninapro_db10_meganepro,-0.0002093254215773,-0.000832476649018046,-1.631427596002211e-07,4,7
offdiag_whitened_cka,physionet_grabmyo->physionet_hyser,-5.3030378900642556e-08,-0.0008515014118542639,-0.0002093254215773,4,7
offdiag_whitened_cka,physionet_hyser->harmonic,1.217210368990862e-07,-0.0008515172983466092,-0.0002093254215773,3,8
offdiag_whitened_cka,physionet_hyser->ninapro_db10_meganepro,-0.0006879531093429,-0.0007889650410393549,-1.631427596002211e-07,4,7
offdiag_whitened_cka,physionet_hyser->physionet_grabmyo,5.0501648099499086e-08,-0.0008515108238567184,-0.0002093254215773,3,8
