screen,dataset,protocol,calibration_per_class,model,balanced_acc_mean,macro_f1_mean,acc_mean,n_units
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,0,frequency_logbandpower,0.3829416275159652,0.3690784809982546,0.3817816373280941,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,0,pretrained_encoder,0.1989941414912764,0.1957050437056497,0.1981680157876706,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,0,raw_stats,0.4217375129711346,0.3964182363798728,0.4204697767868383,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,0,raw_stats_plus_frequency,0.329653464188314,0.320929045136531,0.3289825050342188,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,0,raw_stats_plus_pretrained,0.2865867132797641,0.2801511504446831,0.285890262527914,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,1,frequency_logbandpower,0.4229831676762784,0.4122192515403579,0.4217675015184436,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,1,pretrained_encoder,0.2072308385871134,0.2041003560561372,0.206463093023013,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,1,raw_stats,0.4693922719730032,0.4477701827443983,0.4685801554559349,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_frequency,0.3672396677924427,0.3623286534002092,0.3666024264403892,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained,0.3104327611195099,0.307505315885462,0.3097118063202449,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,2,frequency_logbandpower,0.4511423884490275,0.4417019039370571,0.4498664337298532,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder,0.2147628025710567,0.2119095148555954,0.2140923688200179,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,2,raw_stats,0.4964662541236478,0.4764356228748977,0.4957227775922198,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_frequency,0.394907261624023,0.3913150894666449,0.3943071053098984,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained,0.3256569715511008,0.3241958969853102,0.3250362654490694,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,5,frequency_logbandpower,0.5148106256290034,0.5057401510801148,0.5134784230316173,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder,0.2381243070303174,0.2346887450563211,0.2373074157389369,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,5,raw_stats,0.5534243194962813,0.5349986645772725,0.5526675561947585,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_frequency,0.4630239352458594,0.4600909551800162,0.4622477691452926,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained,0.3698352528866812,0.3688546180030916,0.3690499755739919,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,10,frequency_logbandpower,0.5830813271293285,0.5722846659563213,0.5812194237356374,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder,0.2747881728673326,0.2688301422275932,0.2739382243594144,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,10,raw_stats,0.6115522175316496,0.5928587765198031,0.6105701397173663,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_frequency,0.5446355193322159,0.5382893541766636,0.5433084961077241,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained,0.4353292932490085,0.4314624524732389,0.4341972781961988,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,20,frequency_logbandpower,0.6638901211811451,0.6190553061239993,0.6617182440576133,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,20,pretrained_encoder,0.3357591074475808,0.3019423302626664,0.3350023509779301,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,20,raw_stats,0.6830484138565697,0.6314228076486532,0.6826076986967344,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,20,raw_stats_plus_frequency,0.650200319055127,0.6086592388964558,0.6484451706951846,86
same_subject_cross_session_frequency,physionet_grabmyo,source_plus_calibration,20,raw_stats_plus_pretrained,0.540088200367394,0.5005227272757357,0.5387309935256505,86
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,0,frequency_logbandpower,0.1796218136540753,0.1653744062356436,0.1794293033671936,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,0,pretrained_encoder,0.188823048846216,0.1753463702643554,0.188334153584913,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,0,raw_stats,0.1619555591131804,0.1417123973263278,0.1617988435523977,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,0,raw_stats_plus_frequency,0.1795435396724685,0.1667894637397835,0.179283987186456,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,0,raw_stats_plus_pretrained,0.2030407298299427,0.1884960512353981,0.2026393197787616,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,1,frequency_logbandpower,0.2177946441408507,0.2036205575964451,0.217540690916743,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,1,pretrained_encoder,0.2003204352212228,0.1868782012249999,0.1997950213670852,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,1,raw_stats,0.1956716234046726,0.1756623221039937,0.195441286829693,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,1,raw_stats_plus_frequency,0.2204378069076689,0.2087929480688453,0.2200787088192341,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained,0.2371358441460166,0.2258451127770015,0.2367340439549149,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,2,frequency_logbandpower,0.2385288200627478,0.223634189135489,0.2382243455265387,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,2,pretrained_encoder,0.2113286937494873,0.1976653303504852,0.2107729107309488,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,2,raw_stats,0.213064170850998,0.1925475356348799,0.2127861662656924,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,2,raw_stats_plus_frequency,0.2427765588273865,0.2309404202298259,0.2423930166489579,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained,0.2562386660498303,0.2451088011767724,0.2557831604061542,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,5,frequency_logbandpower,0.2860189052587127,0.269431588023096,0.2855409999562586,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,5,pretrained_encoder,0.240346707220919,0.2260507913008807,0.2397442428161154,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,5,raw_stats,0.250163412575002,0.2271639771610568,0.249800755821008,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,5,raw_stats_plus_frequency,0.2933810670022994,0.2804377681075085,0.2928556791898206,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,5,raw_stats_plus_pretrained,0.3024277823615346,0.2909602254122051,0.3019197830799625,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,10,frequency_logbandpower,0.3457090395265431,0.3272116932217308,0.3451584563232412,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,10,pretrained_encoder,0.283824977323614,0.2682525427830715,0.2831061140751045,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,10,raw_stats,0.2969592063101344,0.2711951834240036,0.2966694162666126,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,10,raw_stats_plus_frequency,0.3584950542895946,0.3430404705205792,0.3575876060244857,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,10,raw_stats_plus_pretrained,0.3656709411189114,0.3528621927511305,0.3650469579533587,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,20,frequency_logbandpower,0.422909170806936,0.4015914277541222,0.4220450232974406,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,20,pretrained_encoder,0.3482736118417225,0.3301473098933971,0.3473170037113924,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,20,raw_stats,0.3642406887481115,0.3350321466834235,0.3639637912236467,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,20,raw_stats_plus_frequency,0.4457300519196229,0.4276258900020819,0.4447346386565573,20
same_subject_cross_session_frequency,physionet_hyser,source_plus_calibration,20,raw_stats_plus_pretrained,0.4546211526105355,0.439977501154696,0.4539857764805786,20
heldout_subject_fewshot_classical,physionet_grabmyo,heldout_subject_fewshot,1,raw_stats_plus_pretrained_plus_signal,0.4310259079088379,0.4241591652124856,0.4304242202818885,43
heldout_subject_fewshot_classical,physionet_grabmyo,heldout_subject_fewshot,1,raw_stats_plus_signal,0.3872093478209497,0.3819599757607831,0.386298518386284,43
heldout_subject_fewshot_classical,physionet_grabmyo,heldout_subject_fewshot,2,raw_stats_plus_pretrained_plus_signal,0.454040758539361,0.4483709630241446,0.4534053277448215,43
heldout_subject_fewshot_classical,physionet_grabmyo,heldout_subject_fewshot,2,raw_stats_plus_signal,0.4069682468446443,0.4028681780866576,0.406173822672394,43
heldout_subject_fewshot_classical,physionet_grabmyo,heldout_subject_fewshot,5,raw_stats_plus_pretrained_plus_signal,0.4984615856473121,0.4947515494681921,0.497922239687868,43
