dataset,protocol,calibration_per_class,model,n_trials,n_units,balanced_acc_mean,macro_f1_mean,acc_mean,n_train_mean,n_test_mean
physionet_grabmyo,source_plus_calibration,0,frequency_logbandpower,860,86,0.3829416275159652,0.36907848099825463,0.3817816373280941,465.83720930232556,464.75581395348837
physionet_grabmyo,source_plus_calibration,0,pretrained_encoder,860,86,0.19899414149127648,0.1957050437056497,0.19816801578767065,465.83720930232556,464.75581395348837
physionet_grabmyo,source_plus_calibration,0,raw_stats,860,86,0.42173751297113465,0.3964182363798728,0.4204697767868383,465.83720930232556,464.75581395348837
physionet_grabmyo,source_plus_calibration,0,raw_stats_plus_frequency,860,86,0.32965346418831404,0.32092904513653103,0.3289825050342188,465.83720930232556,464.75581395348837
physionet_grabmyo,source_plus_calibration,0,raw_stats_plus_pretrained,860,86,0.28658671327976415,0.2801511504446831,0.28589026252791405,465.83720930232556,464.75581395348837
physionet_grabmyo,source_plus_calibration,1,frequency_logbandpower,860,86,0.4229831676762784,0.4122192515403579,0.4217675015184436,482.83720930232556,447.75581395348837
physionet_grabmyo,source_plus_calibration,1,pretrained_encoder,860,86,0.20723083858711341,0.20410035605613722,0.206463093023013,482.83720930232556,447.75581395348837
physionet_grabmyo,source_plus_calibration,1,raw_stats,860,86,0.46939227197300326,0.4477701827443983,0.46858015545593495,482.83720930232556,447.75581395348837
physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_frequency,860,86,0.3672396677924427,0.3623286534002092,0.3666024264403892,482.83720930232556,447.75581395348837
physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained,860,86,0.31043276111950996,0.30750531588546204,0.3097118063202449,482.83720930232556,447.75581395348837
physionet_grabmyo,source_plus_calibration,2,frequency_logbandpower,860,86,0.4511423884490275,0.44170190393705716,0.4498664337298532,499.83720930232556,430.75581395348837
physionet_grabmyo,source_plus_calibration,2,pretrained_encoder,860,86,0.2147628025710567,0.21190951485559542,0.2140923688200179,499.83720930232556,430.75581395348837
physionet_grabmyo,source_plus_calibration,2,raw_stats,860,86,0.4964662541236478,0.47643562287489777,0.4957227775922198,499.83720930232556,430.75581395348837
physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_frequency,860,86,0.39490726162402306,0.39131508946664495,0.3943071053098984,499.83720930232556,430.75581395348837
physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained,860,86,0.3256569715511008,0.32419589698531026,0.3250362654490694,499.83720930232556,430.75581395348837
physionet_grabmyo,source_plus_calibration,5,frequency_logbandpower,860,86,0.5148106256290034,0.5057401510801148,0.5134784230316173,550.8372093023256,379.75581395348837
physionet_grabmyo,source_plus_calibration,5,pretrained_encoder,860,86,0.23812430703031742,0.23468874505632115,0.23730741573893693,550.8372093023256,379.75581395348837
physionet_grabmyo,source_plus_calibration,5,raw_stats,860,86,0.5534243194962813,0.5349986645772725,0.5526675561947585,550.8372093023256,379.75581395348837
physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_frequency,860,86,0.46302393524585944,0.4600909551800162,0.46224776914529264,550.8372093023256,379.75581395348837
physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained,860,86,0.36983525288668123,0.36885461800309166,0.36904997557399194,550.8372093023256,379.75581395348837
physionet_grabmyo,source_plus_calibration,10,frequency_logbandpower,860,86,0.5830813271293285,0.5722846659563213,0.5812194237356374,635.8372093023256,294.75581395348837
physionet_grabmyo,source_plus_calibration,10,pretrained_encoder,860,86,0.27478817286733265,0.2688301422275932,0.2739382243594144,635.8372093023256,294.75581395348837
physionet_grabmyo,source_plus_calibration,10,raw_stats,860,86,0.6115522175316496,0.5928587765198031,0.6105701397173663,635.8372093023256,294.75581395348837
physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_frequency,860,86,0.5446355193322159,0.5382893541766636,0.5433084961077241,635.8372093023256,294.75581395348837
physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained,860,86,0.4353292932490085,0.4314624524732389,0.43419727819619885,635.8372093023256,294.75581395348837
physionet_grabmyo,source_plus_calibration,20,frequency_logbandpower,860,86,0.6638901211811451,0.6190553061239993,0.6617182440576133,783.046511627907,123.54651162790698
physionet_grabmyo,source_plus_calibration,20,pretrained_encoder,860,86,0.3357591074475808,0.3019423302626664,0.3350023509779301,783.046511627907,123.54651162790698
physionet_grabmyo,source_plus_calibration,20,raw_stats,860,86,0.6830484138565697,0.6314228076486532,0.6826076986967344,783.046511627907,123.54651162790698
physionet_grabmyo,source_plus_calibration,20,raw_stats_plus_frequency,860,86,0.650200319055127,0.6086592388964558,0.6484451706951846,783.046511627907,123.54651162790698
physionet_grabmyo,source_plus_calibration,20,raw_stats_plus_pretrained,860,86,0.540088200367394,0.5005227272757357,0.5387309935256505,783.046511627907,123.54651162790698
physionet_hyser,source_plus_calibration,0,frequency_logbandpower,200,20,0.1796218136540753,0.16537440623564365,0.1794293033671936,1344.8,1345.15
physionet_hyser,source_plus_calibration,0,pretrained_encoder,200,20,0.18882304884621606,0.17534637026435543,0.18833415358491304,1344.8,1345.15
