dataset,subject_id,source_session,target_session,unit,seed,model,metric,aulc
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2026,frequency_logbandpower,balanced_acc,0.4121056958727672
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2026,pretrained_encoder,balanced_acc,0.14797740365488427
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2026,raw_stats,balanced_acc,0.506367249286361
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2026,raw_stats_plus_frequency,balanced_acc,0.37272865522956966
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2026,raw_stats_plus_pretrained,balanced_acc,0.280849345824443
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2027,frequency_logbandpower,balanced_acc,0.38889958390810936
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2027,pretrained_encoder,balanced_acc,0.13620649630305007
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2027,raw_stats,balanced_acc,0.48880006943328247
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2027,raw_stats_plus_frequency,balanced_acc,0.37937824324896946
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2027,raw_stats_plus_pretrained,balanced_acc,0.2586955600765378
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2028,frequency_logbandpower,balanced_acc,0.4109328718984627
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2028,pretrained_encoder,balanced_acc,0.13433475112947435
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2028,raw_stats,balanced_acc,0.4886768221544298
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2028,raw_stats_plus_frequency,balanced_acc,0.36550523522014583
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2028,raw_stats_plus_pretrained,balanced_acc,0.2727327502672701
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2029,frequency_logbandpower,balanced_acc,0.4075857059412636
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2029,pretrained_encoder,balanced_acc,0.15116082716495366
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2029,raw_stats,balanced_acc,0.5006817300881201
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2029,raw_stats_plus_frequency,balanced_acc,0.3771485573524406
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2029,raw_stats_plus_pretrained,balanced_acc,0.2731824410238535
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2030,frequency_logbandpower,balanced_acc,0.40040945916875503
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2030,pretrained_encoder,balanced_acc,0.1424358595987185
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2030,raw_stats,balanced_acc,0.48783767461331823
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2030,raw_stats_plus_frequency,balanced_acc,0.3679204669708715
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2030,raw_stats_plus_pretrained,balanced_acc,0.2719984318954524
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2031,frequency_logbandpower,balanced_acc,0.38816951114168374
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2031,pretrained_encoder,balanced_acc,0.13647273086781658
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2031,raw_stats,balanced_acc,0.49854781292583555
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2031,raw_stats_plus_frequency,balanced_acc,0.37220005877068507
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2031,raw_stats_plus_pretrained,balanced_acc,0.2584039563021023
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2032,frequency_logbandpower,balanced_acc,0.3908127431487855
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2032,pretrained_encoder,balanced_acc,0.14454851792695408
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2032,raw_stats,balanced_acc,0.4988038957017468
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2032,raw_stats_plus_frequency,balanced_acc,0.3612030528497111
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2032,raw_stats_plus_pretrained,balanced_acc,0.26943997101166955
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2033,frequency_logbandpower,balanced_acc,0.4053300172051033
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2033,pretrained_encoder,balanced_acc,0.13668095329288563
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2033,raw_stats,balanced_acc,0.4864675601992724
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2033,raw_stats_plus_frequency,balanced_acc,0.36460136540100074
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2033,raw_stats_plus_pretrained,balanced_acc,0.24629853566035242
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2034,frequency_logbandpower,balanced_acc,0.4036833775682057
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2034,pretrained_encoder,balanced_acc,0.14477683836988195
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2034,raw_stats,balanced_acc,0.5067651746573338
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2034,raw_stats_plus_frequency,balanced_acc,0.35975109823313306
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2034,raw_stats_plus_pretrained,balanced_acc,0.2583868692120523
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2035,frequency_logbandpower,balanced_acc,0.4161896778423647
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2035,pretrained_encoder,balanced_acc,0.14508934444302846
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2035,raw_stats,balanced_acc,0.5001299875830869
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2035,raw_stats_plus_frequency,balanced_acc,0.37528314988835665
physionet_grabmyo,S01,session1,session2,physionet_grabmyo::S01::session1->session2,2035,raw_stats_plus_pretrained,balanced_acc,0.2825977397869934
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2026,frequency_logbandpower,balanced_acc,0.42510708661114843
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2026,pretrained_encoder,balanced_acc,0.20299161355613435
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2026,raw_stats,balanced_acc,0.49008931166699016
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2026,raw_stats_plus_frequency,balanced_acc,0.37612695907925686
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2026,raw_stats_plus_pretrained,balanced_acc,0.299617013550435
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2027,frequency_logbandpower,balanced_acc,0.42435703612187986
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2027,pretrained_encoder,balanced_acc,0.19646310385191357
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2027,raw_stats,balanced_acc,0.47958861008894127
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2027,raw_stats_plus_frequency,balanced_acc,0.35438371726455353
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2027,raw_stats_plus_pretrained,balanced_acc,0.2911328652963403
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2028,frequency_logbandpower,balanced_acc,0.43094298333935177
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2028,pretrained_encoder,balanced_acc,0.19433868581651145
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2028,raw_stats,balanced_acc,0.49865432598254833
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2028,raw_stats_plus_frequency,balanced_acc,0.361876823205738
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2028,raw_stats_plus_pretrained,balanced_acc,0.3065687212806439
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2029,frequency_logbandpower,balanced_acc,0.44336746024110407
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2029,pretrained_encoder,balanced_acc,0.1928642691073802
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2029,raw_stats,balanced_acc,0.48732215052613337
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2029,raw_stats_plus_frequency,balanced_acc,0.3736060775815809
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2029,raw_stats_plus_pretrained,balanced_acc,0.2993506057925866
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,frequency_logbandpower,balanced_acc,0.4183063489620498
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,pretrained_encoder,balanced_acc,0.20116326982853078
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats,balanced_acc,0.46963040487256547
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats_plus_frequency,balanced_acc,0.3478451510673107
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats_plus_pretrained,balanced_acc,0.30061947426461255
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,frequency_logbandpower,balanced_acc,0.417231288957877
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,pretrained_encoder,balanced_acc,0.1895196806679169
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats,balanced_acc,0.4714054980137797
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats_plus_frequency,balanced_acc,0.3387045835394137
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats_plus_pretrained,balanced_acc,0.29407532046877743
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,frequency_logbandpower,balanced_acc,0.40843872166880935
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,pretrained_encoder,balanced_acc,0.1898857288121226
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,raw_stats,balanced_acc,0.5068644775955216
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,raw_stats_plus_frequency,balanced_acc,0.3471809352242807
