dataset,level,metric,max_abs_diff,tolerance,pass
harmonic,fold,acc,0.0,1e-09,True
harmonic,fold,macro_f1,5.551115123125783e-17,1e-09,True
harmonic,fold,nll,9.093745721722168e-17,1e-09,True
harmonic,fold,ece,8.326672684688674e-17,1e-09,True
harmonic,fold,brier,1.3234889800848443e-23,1e-09,True
harmonic,summary,ssl_probe_acc_mean,0.0,1e-09,True
harmonic,summary,ssl_probe_macro_f1_mean,0.0,1e-09,True
harmonic,summary,baseline_probe_acc_mean,0.0,1e-09,True
harmonic,summary,baseline_probe_macro_f1_mean,0.0,1e-09,True
harmonic,summary,ssl_finetune_acc_mean,0.0,1e-09,True
harmonic,summary,ssl_finetune_macro_f1_mean,0.0,1e-09,True
ninapro_db10_meganepro,fold,acc,0.0,1e-09,True
ninapro_db10_meganepro,fold,macro_f1,8.326672684688674e-17,1e-09,True
ninapro_db10_meganepro,fold,nll,0.0,1e-09,True
ninapro_db10_meganepro,fold,ece,8.673617379884035e-17,1e-09,True
ninapro_db10_meganepro,fold,brier,1.1102230246251565e-16,1e-09,True
ninapro_db10_meganepro,summary,ssl_probe_acc_mean,0.0,1e-09,True
ninapro_db10_meganepro,summary,ssl_probe_macro_f1_mean,2.7755575615628914e-17,1e-09,True
ninapro_db10_meganepro,summary,baseline_probe_acc_mean,0.0,1e-09,True
ninapro_db10_meganepro,summary,baseline_probe_macro_f1_mean,6.938893903907228e-17,1e-09,True
ninapro_db10_meganepro,summary,ssl_finetune_acc_mean,0.0,1e-09,True
ninapro_db10_meganepro,summary,ssl_finetune_macro_f1_mean,9.71445146547012e-17,1e-09,True
physionet_grabmyo,fold,acc,7.632783294297951e-17,1e-09,True
physionet_grabmyo,fold,macro_f1,1.1102230246251565e-16,1e-09,True
physionet_grabmyo,fold,nll,7.632783294297951e-17,1e-09,True
physionet_grabmyo,fold,ece,6.938893903907228e-17,1e-09,True
physionet_grabmyo,fold,brier,1.1102230246251565e-16,1e-09,True
physionet_grabmyo,summary,ssl_probe_acc_mean,0.0,1e-09,True
physionet_grabmyo,summary,ssl_probe_macro_f1_mean,0.0,1e-09,True
physionet_grabmyo,summary,baseline_probe_acc_mean,9.020562075079397e-17,1e-09,True
physionet_grabmyo,summary,baseline_probe_macro_f1_mean,6.505213034913027e-17,1e-09,True
physionet_grabmyo,summary,ssl_finetune_acc_mean,0.0,1e-09,True
physionet_grabmyo,summary,ssl_finetune_macro_f1_mean,0.0,1e-09,True
physionet_hyser,fold,acc,7.632783294297951e-17,1e-09,True
physionet_hyser,fold,macro_f1,6.765421556309548e-17,1e-09,True
physionet_hyser,fold,nll,4.440892098500626e-16,1e-09,True
physionet_hyser,fold,ece,6.591949208711867e-17,1e-09,True
physionet_hyser,fold,brier,5.2475385148298415e-17,1e-09,True
physionet_hyser,summary,ssl_probe_acc_mean,0.0,1e-09,True
physionet_hyser,summary,ssl_probe_macro_f1_mean,0.0,1e-09,True
physionet_hyser,summary,baseline_probe_acc_mean,9.020562075079397e-17,1e-09,True
physionet_hyser,summary,baseline_probe_macro_f1_mean,5.160802341031001e-17,1e-09,True
physionet_hyser,summary,ssl_finetune_acc_mean,0.0,1e-09,True
physionet_hyser,summary,ssl_finetune_macro_f1_mean,5.551115123125783e-17,1e-09,True
