"run_id","exp_id","mode","run_group","variant","model_size","kappa","seed","data_fraction","status","message","n_parameters","target_tokens","token_formula","token_unit","tokens_seen_proxy","steps_target","steps_run","steps_capped","batch_size_planned","tokens_per_step","downstream_error","dataset_id_acc_first","dataset_id_acc_last","dataset_id_chance","dataset_id_entropy_last","lambda_adv","lambda_coral","lambda_ws"
"audited_cross_domain_emg_audited_throughput_S_k2_f1p0_s2026_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","2","2026","1.0","completed","","5036296.0","2579","kappa*(params/1e6)*token_unit","256","4096.0","2","2","False","256","2048","0.5252261306532663","0.0703125","0.0234375","0.1666666666666666","1.7104300260543823","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_S_k2_f1p0_s2027_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","2","2027","1.0","completed","","5036296.0","2579","kappa*(params/1e6)*token_unit","256","4096.0","2","2","False","256","2048","0.6399479166666666","0.06640625","0.21484375","0.1666666666666666","1.7362934350967407","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_S_k4_f1p0_s2026_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","4","2026","1.0","completed","","5036296.0","5158","kappa*(params/1e6)*token_unit","256","6144.0","3","3","False","256","2048","0.6088505025125628","0.0703125","0.18359375","0.1666666666666666","1.7092845439910889","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_S_k4_f1p0_s2027_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","4","2027","1.0","completed","","5036296.0","5158","kappa*(params/1e6)*token_unit","256","6144.0","3","3","False","256","2048","0.4427083333333333","0.06640625","0.2734375","0.1666666666666666","1.7048739194869995","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_S_k8_f1p0_s2026_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","8","2026","1.0","completed","","5036296.0","10315","kappa*(params/1e6)*token_unit","256","12288.0","6","6","False","256","2048","0.533643216080402","0.0703125","0.10546875","0.1666666666666666","1.7099167108535769","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_S_k8_f1p0_s2027_vboth","audited_cross_domain_emg_audited","throughput","core","both","S","8","2027","1.0","completed","","5036296.0","10315","kappa*(params/1e6)*token_unit","256","12288.0","6","6","False","256","2048","0.5030208333333333","0.06640625","0.01171875","0.1666666666666666","1.5879125595092771","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_M_k2_f1p0_s2026_vboth","audited_cross_domain_emg_audited","throughput","core","both","M","2","2026","1.0","completed","","14740616.0","7548","kappa*(params/1e6)*token_unit","256","8192.0","4","4","False","256","2048","0.6540138190954774","0.234375","0.21484375","0.1666666666666666","1.4815876483917236","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_M_k2_f1p0_s2027_vboth","audited_cross_domain_emg_audited","throughput","core","both","M","2","2027","1.0","completed","","14740616.0","7548","kappa*(params/1e6)*token_unit","256","8192.0","4","4","False","256","2048","0.8784375000000001","0.0390625","0.0703125","0.1666666666666666","1.4733974933624268","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_M_k4_f1p0_s2026_vboth","audited_cross_domain_emg_audited","throughput","core","both","M","4","2026","1.0","completed","","14740616.0","15095","kappa*(params/1e6)*token_unit","256","16384.0","8","8","False","256","2048","0.9186620603015077","0.234375","0.34765625","0.1666666666666666","1.3296741247177124","0.2","0.0","0.05"
"audited_cross_domain_emg_audited_throughput_M_k4_f1p0_s2027_vboth","audited_cross_domain_emg_audited","throughput","core","both","M","4","2027","1.0","completed","","14740616.0","15095","kappa*(params/1e6)*token_unit","256","16384.0","8","8","False","256","2048","0.97953125","0.0390625","0.15234375","0.1666666666666666","1.389873743057251","0.2","0.0","0.05"
