dataset,fold,model,n_train_subjects,n_test_subjects,n_val_subjects,intersection_train_test
harmonic,0,ssl_probe,12,12,0,0
harmonic,0,baseline_probe,12,12,0,0
harmonic,0,ssl_finetune,12,12,0,0
harmonic,1,ssl_probe,12,12,0,0
harmonic,1,baseline_probe,12,12,0,0
harmonic,1,ssl_finetune,12,12,0,0
ninapro_db10_meganepro,0,ssl_probe,22,23,0,0
ninapro_db10_meganepro,0,baseline_probe,22,23,0,0
ninapro_db10_meganepro,0,ssl_finetune,22,23,0,0
ninapro_db10_meganepro,1,ssl_probe,23,22,0,0
ninapro_db10_meganepro,1,baseline_probe,23,22,0,0
ninapro_db10_meganepro,1,ssl_finetune,23,22,0,0
physionet_grabmyo,0,ssl_probe,21,22,0,0
physionet_grabmyo,0,baseline_probe,21,22,0,0
physionet_grabmyo,0,ssl_finetune,21,22,0,0
physionet_grabmyo,1,ssl_probe,22,21,0,0
physionet_grabmyo,1,baseline_probe,22,21,0,0
physionet_grabmyo,1,ssl_finetune,22,21,0,0
physionet_hyser,0,ssl_probe,10,10,0,0
physionet_hyser,0,baseline_probe,10,10,0,0
physionet_hyser,0,ssl_finetune,10,10,0,0
physionet_hyser,1,ssl_probe,10,10,0,0
physionet_hyser,1,baseline_probe,10,10,0,0
physionet_hyser,1,ssl_finetune,10,10,0,0
