source_dataset,target_dataset,status,reference_dataset,cka_linear,cov_cosine,alignment_whitened_cka,alignment_whitened_cov_cosine,knn_refcluster_top1_match,knn_refcluster_top5_any_match,retrieval_top1_similarity,n_source_rows,n_target_rows,n_clusters
harmonic,harmonic,ok,physionet_hyser,0.033971616457644245,0.9995777048322784,0.028401965339169454,0.998973816264763,1.0,1.0,0.9999999999999999,800,800,28
harmonic,ninapro_db10_meganepro,ok,physionet_hyser,0.010520629986528158,0.35487982860699924,0.04001413582145939,0.07886030818247083,0.2109375,1.0,0.9735503462531605,800,800,28
harmonic,physionet_grabmyo,ok,physionet_hyser,0.006616148269279121,0.17946870566906614,0.00935549358431974,0.20682975340942913,0.0,0.0,0.5943419659500337,800,800,28
harmonic,physionet_hyser,ok,physionet_hyser,0.006670932511593577,0.28651290994313716,0.015731023418708943,0.19581645011553303,0.921875,0.921875,0.5671634603006507,800,800,28
ninapro_db10_meganepro,harmonic,ok,physionet_hyser,0.006944190718469223,0.371461818266295,0.04008809275536571,0.08018373389631524,0.62890625,0.62890625,0.9226695251229817,800,800,28
ninapro_db10_meganepro,ninapro_db10_meganepro,ok,physionet_hyser,0.043685466156549044,0.9958055434968164,0.45451700305729636,0.8151373176291435,1.0,1.0,1.0,800,800,28
ninapro_db10_meganepro,physionet_grabmyo,ok,physionet_hyser,0.021357652555328795,0.3975816512312117,0.1110194928985286,0.22860393265258705,0.22265625,0.22265625,0.5753301918659773,800,800,28
ninapro_db10_meganepro,physionet_hyser,ok,physionet_hyser,0.012052106992517313,0.439893532827213,0.15801324463584093,0.3224340642878124,0.73828125,0.73828125,0.5312622830624096,800,800,28
physionet_grabmyo,harmonic,ok,physionet_hyser,0.016205343167157295,0.16997027127691564,0.01184518329429079,0.2030389942542389,0.0546875,0.0546875,0.3484359810103308,800,800,28
physionet_grabmyo,ninapro_db10_meganepro,ok,physionet_hyser,0.01142580584034359,0.40481733735828074,0.11316713768172676,0.22378282723374546,0.05859375,0.05859375,0.46009050505461024,800,800,28
physionet_grabmyo,physionet_grabmyo,ok,physionet_hyser,0.015406145949895584,0.9955915221340376,0.03201133442255802,0.9918503602655507,1.0,1.0,1.0,800,800,28
physionet_grabmyo,physionet_hyser,ok,physionet_hyser,0.020806758850799686,0.6795601482764936,0.045339811801874776,0.5607089068581556,0.7421875,0.7421875,0.6264019579730832,800,800,28
physionet_hyser,harmonic,ok,physionet_hyser,0.013653942183929256,0.27495063736480096,0.01734849286345962,0.1969447410574975,0.03515625,0.03515625,-0.0032301508324680227,800,800,28
physionet_hyser,ninapro_db10_meganepro,ok,physionet_hyser,0.01612877081702149,0.4282977010770475,0.15799872582262328,0.31774258064652505,0.0390625,0.0390625,0.10696935914234307,800,800,28
physionet_hyser,physionet_grabmyo,ok,physionet_hyser,0.016500562567880673,0.6857618413035654,0.043780760200106746,0.5669610737813375,0.43359375,0.43359375,0.47448030886307296,800,800,28
physionet_hyser,physionet_hyser,ok,physionet_hyser,0.023869795232186988,0.9869355201034399,0.06949095526932719,0.9712514599658446,1.0,1.0,0.9999999999999998,800,800,28
