seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set,mutual_information,normalized_mutual_information
2026,2,41792,18208,0.5,0.5007688927943761,0.999011423550088,0.9990115901258914,0.9990114215343532,0.999011423550088,0.0032323391768949,0.0046632797009773,0.0004024788362508,False,two_domain_confirmatory_features,pretrained_embedding,0.6853239750447994,0.9887149630508896
2026,2,41792,18208,0.5,0.5007688927943761,0.5020869947275922,0.5020728109222415,0.502037242199911,0.5020869947275922,0.6888003122087469,0.9937287945863288,0.03506663408576,True,two_domain_confirmatory_features,pretrained_embedding,8.59602041945978e-06,1.2402970026790191e-05
2027,2,41903,18097,0.5,0.5002486599988949,0.999447422224678,0.9994474770496198,0.9994474221420028,0.999447422224678,0.0033979544035761,0.004902211967206,0.0007379039410966,False,two_domain_confirmatory_features,pretrained_embedding,0.6884609552623016,0.9932393219500397
2027,2,41903,18097,0.5,0.5002486599988949,0.4778140023208266,0.4778110701279354,0.4777943563114994,0.5221859976791734,0.6893187184245513,0.9944766966630358,0.0568459328558546,True,two_domain_confirmatory_features,pretrained_embedding,0.000985157479653968,0.0014213529558543144
2028,2,42174,17826,0.5,0.5025805003926849,0.9996634129922584,0.9996622459119904,0.999663403230128,0.9996634129922584,0.0016900549937952,0.002438233958378,0.0003192814786035,False,two_domain_confirmatory_features,pretrained_embedding,0.6901861849258577,0.995749054461685
2028,2,42174,17826,0.5,0.5025805003926849,0.5,0.4999232748996899,0.4998477647629783,0.5,0.6883835726987816,0.9931275665619594,0.0387832364039443,True,two_domain_confirmatory_features,pretrained_embedding,1.1783585314571624e-08,1.700570618944371e-08
2029,2,41824,18176,0.5,0.5001100352112676,0.9985145246478874,0.9985147788386588,0.998514523348415,0.9985145246478874,0.00267632180506,0.0038611161959831,0.0006594735734628,False,two_domain_confirmatory_features,pretrained_embedding,0.6824990631432529,0.9846395832613676
2029,2,41824,18176,0.5,0.5001100352112676,0.5230523767605634,0.523055877016273,0.5229334317720716,0.5230523767605634,0.6882166471209948,0.992886743858689,0.0163947162689424,True,two_domain_confirmatory_features,pretrained_embedding,0.0010646029128817923,0.0015364578592546169
2030,2,41977,18023,0.5,0.5039671530821728,0.9992786994396048,0.9992755722086716,0.9992786494735908,0.9992786994396048,0.0039428516932369,0.0056883325847935,0.0005756806874327,False,two_domain_confirmatory_features,pretrained_embedding,0.6872834819950417,0.991590125237593
2030,2,41977,18023,0.5,0.5039671530821728,0.5149531154635744,0.5149507549196436,0.5149437959749856,0.5149531154635744,0.6886786671681817,0.9935532978895568,0.0227023392049576,True,two_domain_confirmatory_features,pretrained_embedding,0.00044708884437455725,0.0006450276656387167
2031,2,41943,18057,0.5,0.5000830702774547,0.9986154953757546,0.9986156885563318,0.9986154939999756,0.9986154953757546,0.0043764846830617,0.0063139327487796,0.0005485545512805,False,two_domain_confirmatory_features,pretrained_embedding,0.6832221130399784,0.9856828225245478
2031,2,41943,18057,0.5,0.5000830702774547,0.5053995680345572,0.5054002996547455,0.5053903389079375,0.5053995680345572,0.688802688131219,0.9937322223178968,0.0315911195202378,True,two_domain_confirmatory_features,pretrained_embedding,5.8332129662797775e-05,8.415782854598474e-05
2032,2,41880,18120,0.5,0.5027593818984547,0.9983443708609272,0.9983376197443748,0.998344295804822,0.9983443708609272,0.0042424741860917,0.006120596469374,0.0006882514167713,False,two_domain_confirmatory_features,pretrained_embedding,0.6813643474030708,0.9830341558520302
2032,2,41880,18120,0.5,0.5027593818984547,0.5138520971302428,0.5138430771517438,0.5138423823999889,0.5138520971302428,0.6883189922840184,0.993034396717842,0.025120247819001,True,two_domain_confirmatory_features,pretrained_embedding,0.0003833031013217615,0.0005529978932224225
2033,2,42017,17983,0.5,0.5000278040371462,0.9994995273313684,0.9994995366065949,0.999499527325178,0.9994995273313684,0.0027095626189352,0.0039090725533159,0.0004850012752694,False,two_domain_confirmatory_features,pretrained_embedding,0.6888715713657396,0.9938316286375756
2033,2,42017,17983,0.5,0.5000278040371462,0.508758271701051,0.5087577383136399,0.5087128039615243,0.508758271701051,0.6884270089116253,0.993190231770824,0.0300812004860133,True,two_domain_confirmatory_features,pretrained_embedding,0.00015346029727613623,0.00022142580576811716
2034,2,41830,18170,0.5,0.5046780407264722,0.9995597138139792,0.9995607051981098,0.9995596761712676,0.9995597138139792,0.0030375692683827,0.0043822861198525,0.000469810736666,False,two_domain_confirmatory_features,pretrained_embedding,0.6892755896983278,0.9944758110302228
2034,2,41830,18170,0.5,0.5046780407264722,0.4826086956521739,0.482632921361929,0.4826067758920307,0.5173913043478261,0.6882242112024952,0.9928976565215584,0.0568725140325987,True,two_domain_confirmatory_features,pretrained_embedding,0.0006033162638721494,0.0008704383731056349
2035,2,41881,18119,0.5,0.5023456040620343,0.999227330426624,0.9992299025885992,0.9992273171876196,0.999227330426624,0.0026175374003136,0.0037763082267739,0.0003560714466011,False,two_domain_confirmatory_features,pretrained_embedding,0.6870479472648776,0.9912131350376963
