mapping_id,source_dataset,source_label_space,source_processed_label_id,target_dataset,target_label_space,target_processed_label_id,relation,action_match,granularity_match,body_segment_match,laterality_match,task_context_match,one_to_one,decision,decision_reason
physionet_grabmyo_identity_0,physionet_grabmyo,grabmyo_processed_0_based,0,physionet_grabmyo,grabmyo_processed_0_based,0,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_1,physionet_grabmyo,grabmyo_processed_0_based,1,physionet_grabmyo,grabmyo_processed_0_based,1,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_2,physionet_grabmyo,grabmyo_processed_0_based,2,physionet_grabmyo,grabmyo_processed_0_based,2,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_3,physionet_grabmyo,grabmyo_processed_0_based,3,physionet_grabmyo,grabmyo_processed_0_based,3,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_4,physionet_grabmyo,grabmyo_processed_0_based,4,physionet_grabmyo,grabmyo_processed_0_based,4,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_5,physionet_grabmyo,grabmyo_processed_0_based,5,physionet_grabmyo,grabmyo_processed_0_based,5,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_6,physionet_grabmyo,grabmyo_processed_0_based,6,physionet_grabmyo,grabmyo_processed_0_based,6,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_7,physionet_grabmyo,grabmyo_processed_0_based,7,physionet_grabmyo,grabmyo_processed_0_based,7,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_8,physionet_grabmyo,grabmyo_processed_0_based,8,physionet_grabmyo,grabmyo_processed_0_based,8,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
physionet_grabmyo_identity_9,physionet_grabmyo,grabmyo_processed_0_based,9,physionet_grabmyo,grabmyo_processed_0_based,9,identity,yes,yes,yes,yes,yes,yes,accepted_positive_control,same-dataset source and target use the identical processed codebook
