run_label,seed,dataset,split_unit,trial_id_synthetic,n_units,n_test_units,n_train_rows,n_test_rows,shuffled_label_control,label_control_mode
encoder_seed_2026,2026,emg2pose,trial_id,False,30,8,3657,1343,False,true_labels
encoder_seed_2026,2026,emg2qwerty,subject_id,False,10,2,4056,944,False,true_labels
encoder_seed_2026,2026,harmonic,subject_id,False,24,6,4031,969,False,true_labels
encoder_seed_2026,2026,ninapro_db10_meganepro,subject_id,False,20,5,3745,1255,False,true_labels
encoder_seed_2026,2026,physionet_grabmyo,subject_id,False,43,11,3745,1255,False,true_labels
encoder_seed_2026,2026,physionet_hyser,subject_id,False,20,5,3745,1255,False,true_labels
encoder_seed_2026,2027,emg2pose,trial_id,False,30,8,3642,1358,False,true_labels
encoder_seed_2026,2027,emg2qwerty,subject_id,False,10,2,4098,902,False,true_labels
encoder_seed_2026,2027,harmonic,subject_id,False,24,6,3514,1486,False,true_labels
encoder_seed_2026,2027,ninapro_db10_meganepro,subject_id,False,20,5,3748,1252,False,true_labels
encoder_seed_2026,2027,physionet_grabmyo,subject_id,False,43,11,3741,1259,False,true_labels
encoder_seed_2026,2027,physionet_hyser,subject_id,False,20,5,3746,1254,False,true_labels
encoder_seed_2026,2028,emg2pose,trial_id,False,30,8,3647,1353,False,true_labels
encoder_seed_2026,2028,emg2qwerty,subject_id,False,10,2,4099,901,False,true_labels
encoder_seed_2026,2028,harmonic,subject_id,False,24,6,3514,1486,False,true_labels
encoder_seed_2026,2028,ninapro_db10_meganepro,subject_id,False,20,5,3735,1265,False,true_labels
encoder_seed_2026,2028,physionet_grabmyo,subject_id,False,43,11,3709,1291,False,true_labels
encoder_seed_2026,2028,physionet_hyser,subject_id,False,20,5,3776,1224,False,true_labels
encoder_seed_2026,2029,emg2pose,trial_id,False,30,8,3671,1329,False,true_labels
encoder_seed_2026,2029,emg2qwerty,subject_id,False,10,2,4098,902,False,true_labels
encoder_seed_2026,2029,harmonic,subject_id,False,24,6,3925,1075,False,true_labels
encoder_seed_2026,2029,ninapro_db10_meganepro,subject_id,False,20,5,3728,1272,False,true_labels
encoder_seed_2026,2029,physionet_grabmyo,subject_id,False,43,11,3720,1280,False,true_labels
encoder_seed_2026,2029,physionet_hyser,subject_id,False,20,5,3747,1253,False,true_labels
encoder_seed_2026,2030,emg2pose,trial_id,False,30,8,3730,1270,False,true_labels
encoder_seed_2026,2030,emg2qwerty,subject_id,False,10,2,3843,1157,False,true_labels
encoder_seed_2026,2030,harmonic,subject_id,False,24,6,3705,1295,False,true_labels
encoder_seed_2026,2030,ninapro_db10_meganepro,subject_id,False,20,5,3770,1230,False,true_labels
encoder_seed_2026,2030,physionet_grabmyo,subject_id,False,43,11,3726,1274,False,true_labels
encoder_seed_2026,2030,physionet_hyser,subject_id,False,20,5,3798,1202,False,true_labels
encoder_seed_2026,2031,emg2pose,trial_id,False,30,8,3709,1291,False,true_labels
encoder_seed_2026,2031,emg2qwerty,subject_id,False,10,2,4085,915,False,true_labels
encoder_seed_2026,2031,harmonic,subject_id,False,24,6,3710,1290,False,true_labels
encoder_seed_2026,2031,ninapro_db10_meganepro,subject_id,False,20,5,3765,1235,False,true_labels
encoder_seed_2026,2031,physionet_grabmyo,subject_id,False,43,11,3728,1272,False,true_labels
encoder_seed_2026,2031,physionet_hyser,subject_id,False,20,5,3767,1233,False,true_labels
encoder_seed_2026,2032,emg2pose,trial_id,False,30,8,3685,1315,False,true_labels
encoder_seed_2026,2032,emg2qwerty,subject_id,False,10,2,3876,1124,False,true_labels
encoder_seed_2026,2032,harmonic,subject_id,False,24,6,3869,1131,False,true_labels
encoder_seed_2026,2032,ninapro_db10_meganepro,subject_id,False,20,5,3758,1242,False,true_labels
encoder_seed_2026,2032,physionet_grabmyo,subject_id,False,43,11,3770,1230,False,true_labels
encoder_seed_2026,2032,physionet_hyser,subject_id,False,20,5,3759,1241,False,true_labels
encoder_seed_2026,2033,emg2pose,trial_id,False,30,8,3676,1324,False,true_labels
encoder_seed_2026,2033,emg2qwerty,subject_id,False,10,2,3876,1124,False,true_labels
encoder_seed_2026,2033,harmonic,subject_id,False,24,6,3550,1450,False,true_labels
encoder_seed_2026,2033,ninapro_db10_meganepro,subject_id,False,20,5,3747,1253,False,true_labels
encoder_seed_2026,2033,physionet_grabmyo,subject_id,False,43,11,3716,1284,False,true_labels
encoder_seed_2026,2033,physionet_hyser,subject_id,False,20,5,3721,1279,False,true_labels
encoder_seed_2026,2034,emg2pose,trial_id,False,30,8,3618,1382,False,true_labels
encoder_seed_2026,2034,emg2qwerty,subject_id,False,10,2,4173,827,False,true_labels
encoder_seed_2026,2034,harmonic,subject_id,False,24,6,3732,1268,False,true_labels
encoder_seed_2026,2034,ninapro_db10_meganepro,subject_id,False,20,5,3749,1251,False,true_labels
encoder_seed_2026,2034,physionet_grabmyo,subject_id,False,43,11,3734,1266,False,true_labels
encoder_seed_2026,2034,physionet_hyser,subject_id,False,20,5,3759,1241,False,true_labels
encoder_seed_2026,2035,emg2pose,trial_id,False,30,8,3632,1368,False,true_labels
encoder_seed_2026,2035,emg2qwerty,subject_id,False,10,2,4128,872,False,true_labels
encoder_seed_2026,2035,harmonic,subject_id,False,24,6,3534,1466,False,true_labels
encoder_seed_2026,2035,ninapro_db10_meganepro,subject_id,False,20,5,3756,1244,False,true_labels
encoder_seed_2026,2035,physionet_grabmyo,subject_id,False,43,11,3702,1298,False,true_labels
encoder_seed_2026,2035,physionet_hyser,subject_id,False,20,5,3709,1291,False,true_labels
encoder_seed_2026,2026,emg2pose,trial_id,False,30,8,3657,1343,True,train_labels_permuted_only
encoder_seed_2026,2026,emg2qwerty,subject_id,False,10,2,4056,944,True,train_labels_permuted_only
encoder_seed_2026,2026,harmonic,subject_id,False,24,6,4031,969,True,train_labels_permuted_only
encoder_seed_2026,2026,ninapro_db10_meganepro,subject_id,False,20,5,3745,1255,True,train_labels_permuted_only
encoder_seed_2026,2026,physionet_grabmyo,subject_id,False,43,11,3745,1255,True,train_labels_permuted_only
encoder_seed_2026,2026,physionet_hyser,subject_id,False,20,5,3745,1255,True,train_labels_permuted_only
encoder_seed_2026,2027,emg2pose,trial_id,False,30,8,3642,1358,True,train_labels_permuted_only
encoder_seed_2026,2027,emg2qwerty,subject_id,False,10,2,4098,902,True,train_labels_permuted_only
encoder_seed_2026,2027,harmonic,subject_id,False,24,6,3514,1486,True,train_labels_permuted_only
encoder_seed_2026,2027,ninapro_db10_meganepro,subject_id,False,20,5,3748,1252,True,train_labels_permuted_only
encoder_seed_2026,2027,physionet_grabmyo,subject_id,False,43,11,3741,1259,True,train_labels_permuted_only
encoder_seed_2026,2027,physionet_hyser,subject_id,False,20,5,3746,1254,True,train_labels_permuted_only
encoder_seed_2026,2028,emg2pose,trial_id,False,30,8,3647,1353,True,train_labels_permuted_only
encoder_seed_2026,2028,emg2qwerty,subject_id,False,10,2,4099,901,True,train_labels_permuted_only
encoder_seed_2026,2028,harmonic,subject_id,False,24,6,3514,1486,True,train_labels_permuted_only
encoder_seed_2026,2028,ninapro_db10_meganepro,subject_id,False,20,5,3735,1265,True,train_labels_permuted_only
encoder_seed_2026,2028,physionet_grabmyo,subject_id,False,43,11,3709,1291,True,train_labels_permuted_only
encoder_seed_2026,2028,physionet_hyser,subject_id,False,20,5,3776,1224,True,train_labels_permuted_only
encoder_seed_2026,2029,emg2pose,trial_id,False,30,8,3671,1329,True,train_labels_permuted_only
encoder_seed_2026,2029,emg2qwerty,subject_id,False,10,2,4098,902,True,train_labels_permuted_only
encoder_seed_2026,2029,harmonic,subject_id,False,24,6,3925,1075,True,train_labels_permuted_only
encoder_seed_2026,2029,ninapro_db10_meganepro,subject_id,False,20,5,3728,1272,True,train_labels_permuted_only
encoder_seed_2026,2029,physionet_grabmyo,subject_id,False,43,11,3720,1280,True,train_labels_permuted_only
encoder_seed_2026,2029,physionet_hyser,subject_id,False,20,5,3747,1253,True,train_labels_permuted_only
encoder_seed_2026,2030,emg2pose,trial_id,False,30,8,3730,1270,True,train_labels_permuted_only
encoder_seed_2026,2030,emg2qwerty,subject_id,False,10,2,3843,1157,True,train_labels_permuted_only
encoder_seed_2026,2030,harmonic,subject_id,False,24,6,3705,1295,True,train_labels_permuted_only
encoder_seed_2026,2030,ninapro_db10_meganepro,subject_id,False,20,5,3770,1230,True,train_labels_permuted_only
encoder_seed_2026,2030,physionet_grabmyo,subject_id,False,43,11,3726,1274,True,train_labels_permuted_only
encoder_seed_2026,2030,physionet_hyser,subject_id,False,20,5,3798,1202,True,train_labels_permuted_only
encoder_seed_2026,2031,emg2pose,trial_id,False,30,8,3709,1291,True,train_labels_permuted_only
encoder_seed_2026,2031,emg2qwerty,subject_id,False,10,2,4085,915,True,train_labels_permuted_only
encoder_seed_2026,2031,harmonic,subject_id,False,24,6,3710,1290,True,train_labels_permuted_only
encoder_seed_2026,2031,ninapro_db10_meganepro,subject_id,False,20,5,3765,1235,True,train_labels_permuted_only
encoder_seed_2026,2031,physionet_grabmyo,subject_id,False,43,11,3728,1272,True,train_labels_permuted_only
encoder_seed_2026,2031,physionet_hyser,subject_id,False,20,5,3767,1233,True,train_labels_permuted_only
encoder_seed_2026,2032,emg2pose,trial_id,False,30,8,3685,1315,True,train_labels_permuted_only
encoder_seed_2026,2032,emg2qwerty,subject_id,False,10,2,3876,1124,True,train_labels_permuted_only
encoder_seed_2026,2032,harmonic,subject_id,False,24,6,3869,1131,True,train_labels_permuted_only
encoder_seed_2026,2032,ninapro_db10_meganepro,subject_id,False,20,5,3758,1242,True,train_labels_permuted_only
encoder_seed_2026,2032,physionet_grabmyo,subject_id,False,43,11,3770,1230,True,train_labels_permuted_only
encoder_seed_2026,2032,physionet_hyser,subject_id,False,20,5,3759,1241,True,train_labels_permuted_only
encoder_seed_2026,2033,emg2pose,trial_id,False,30,8,3676,1324,True,train_labels_permuted_only
encoder_seed_2026,2033,emg2qwerty,subject_id,False,10,2,3876,1124,True,train_labels_permuted_only
encoder_seed_2026,2033,harmonic,subject_id,False,24,6,3550,1450,True,train_labels_permuted_only
encoder_seed_2026,2033,ninapro_db10_meganepro,subject_id,False,20,5,3747,1253,True,train_labels_permuted_only
encoder_seed_2026,2033,physionet_grabmyo,subject_id,False,43,11,3716,1284,True,train_labels_permuted_only
encoder_seed_2026,2033,physionet_hyser,subject_id,False,20,5,3721,1279,True,train_labels_permuted_only
encoder_seed_2026,2034,emg2pose,trial_id,False,30,8,3618,1382,True,train_labels_permuted_only
encoder_seed_2026,2034,emg2qwerty,subject_id,False,10,2,4173,827,True,train_labels_permuted_only
encoder_seed_2026,2034,harmonic,subject_id,False,24,6,3732,1268,True,train_labels_permuted_only
encoder_seed_2026,2034,ninapro_db10_meganepro,subject_id,False,20,5,3749,1251,True,train_labels_permuted_only
encoder_seed_2026,2034,physionet_grabmyo,subject_id,False,43,11,3734,1266,True,train_labels_permuted_only
encoder_seed_2026,2034,physionet_hyser,subject_id,False,20,5,3759,1241,True,train_labels_permuted_only
encoder_seed_2026,2035,emg2pose,trial_id,False,30,8,3632,1368,True,train_labels_permuted_only
encoder_seed_2026,2035,emg2qwerty,subject_id,False,10,2,4128,872,True,train_labels_permuted_only
encoder_seed_2026,2035,harmonic,subject_id,False,24,6,3534,1466,True,train_labels_permuted_only
encoder_seed_2026,2035,ninapro_db10_meganepro,subject_id,False,20,5,3756,1244,True,train_labels_permuted_only
encoder_seed_2026,2035,physionet_grabmyo,subject_id,False,43,11,3702,1298,True,train_labels_permuted_only
encoder_seed_2026,2035,physionet_hyser,subject_id,False,20,5,3709,1291,True,train_labels_permuted_only
encoder_seed_2027,2026,emg2pose,trial_id,False,30,8,3657,1343,False,true_labels
encoder_seed_2027,2026,emg2qwerty,subject_id,False,10,2,4056,944,False,true_labels
encoder_seed_2027,2026,harmonic,subject_id,False,24,6,4031,969,False,true_labels
encoder_seed_2027,2026,ninapro_db10_meganepro,subject_id,False,20,5,3745,1255,False,true_labels
encoder_seed_2027,2026,physionet_grabmyo,subject_id,False,43,11,3745,1255,False,true_labels
encoder_seed_2027,2026,physionet_hyser,subject_id,False,20,5,3745,1255,False,true_labels
encoder_seed_2027,2027,emg2pose,trial_id,False,30,8,3642,1358,False,true_labels
encoder_seed_2027,2027,emg2qwerty,subject_id,False,10,2,4098,902,False,true_labels
encoder_seed_2027,2027,harmonic,subject_id,False,24,6,3514,1486,False,true_labels
encoder_seed_2027,2027,ninapro_db10_meganepro,subject_id,False,20,5,3748,1252,False,true_labels
encoder_seed_2027,2027,physionet_grabmyo,subject_id,False,43,11,3741,1259,False,true_labels
encoder_seed_2027,2027,physionet_hyser,subject_id,False,20,5,3746,1254,False,true_labels
