run_label,seed,shuffled_label_control,dataset,true_support,predicted_support,recall
encoder_seed_2026,2026,False,emg2pose,1343,1132,0.7244973938942666
encoder_seed_2026,2026,False,emg2qwerty,944,1130,0.8305084745762712
encoder_seed_2026,2026,False,harmonic,969,969,1.0
encoder_seed_2026,2026,False,ninapro_db10_meganepro,1255,1253,0.998406374501992
encoder_seed_2026,2026,False,physionet_grabmyo,1255,1257,1.0
encoder_seed_2026,2026,False,physionet_hyser,1255,1280,0.999203187250996
encoder_seed_2026,2027,False,emg2pose,1358,1258,0.7555228276877761
encoder_seed_2026,2027,False,emg2qwerty,902,995,0.7394678492239468
encoder_seed_2026,2027,False,harmonic,1486,1486,1.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,1252,1252,1.0
encoder_seed_2026,2027,False,physionet_grabmyo,1259,1259,1.0
encoder_seed_2026,2027,False,physionet_hyser,1254,1261,1.0
encoder_seed_2026,2028,False,emg2pose,1353,1202,0.762010347376201
encoder_seed_2026,2028,False,emg2qwerty,901,1050,0.8102108768035516
encoder_seed_2026,2028,False,harmonic,1486,1486,1.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,1265,1266,1.0
encoder_seed_2026,2028,False,physionet_grabmyo,1291,1290,0.9992254066615028
encoder_seed_2026,2028,False,physionet_hyser,1224,1226,0.9991830065359476
encoder_seed_2026,2029,False,emg2pose,1329,1284,0.8472535741158767
encoder_seed_2026,2029,False,emg2qwerty,902,947,0.8259423503325942
encoder_seed_2026,2029,False,harmonic,1075,1075,1.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,1272,1272,1.0
encoder_seed_2026,2029,False,physionet_grabmyo,1280,1280,1.0
encoder_seed_2026,2029,False,physionet_hyser,1253,1253,0.9992019154030328
encoder_seed_2026,2030,False,emg2pose,1270,1047,0.7047244094488189
encoder_seed_2026,2030,False,emg2qwerty,1157,1369,0.8634399308556612
encoder_seed_2026,2030,False,harmonic,1295,1296,1.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,1230,1230,1.0
encoder_seed_2026,2030,False,physionet_grabmyo,1274,1274,0.999215070643642
encoder_seed_2026,2030,False,physionet_hyser,1202,1212,1.0
encoder_seed_2026,2031,False,emg2pose,1291,1144,0.726568551510457
encoder_seed_2026,2031,False,emg2qwerty,915,1037,0.7704918032786885
encoder_seed_2026,2031,False,harmonic,1290,1290,1.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,1235,1235,1.0
encoder_seed_2026,2031,False,physionet_grabmyo,1272,1272,1.0
encoder_seed_2026,2031,False,physionet_hyser,1233,1258,1.0
encoder_seed_2026,2032,False,emg2pose,1315,1546,0.8517110266159695
encoder_seed_2026,2032,False,emg2qwerty,1124,873,0.6076512455516014
encoder_seed_2026,2032,False,harmonic,1131,1133,1.0
encoder_seed_2026,2032,False,ninapro_db10_meganepro,1242,1242,1.0
encoder_seed_2026,2032,False,physionet_grabmyo,1230,1230,1.0
encoder_seed_2026,2032,False,physionet_hyser,1241,1259,1.0
encoder_seed_2026,2033,False,emg2pose,1324,1536,0.7696374622356495
encoder_seed_2026,2033,False,emg2qwerty,1124,894,0.5275800711743772
encoder_seed_2026,2033,False,harmonic,1450,1452,1.0
encoder_seed_2026,2033,False,ninapro_db10_meganepro,1253,1253,1.0
encoder_seed_2026,2033,False,physionet_grabmyo,1284,1283,0.9992211838006232
encoder_seed_2026,2033,False,physionet_hyser,1279,1296,1.0
encoder_seed_2026,2034,False,emg2pose,1382,1286,0.8335745296671491
encoder_seed_2026,2034,False,emg2qwerty,827,920,0.8367593712212817
encoder_seed_2026,2034,False,harmonic,1268,1268,1.0
encoder_seed_2026,2034,False,ninapro_db10_meganepro,1251,1251,1.0
encoder_seed_2026,2034,False,physionet_grabmyo,1266,1266,1.0
encoder_seed_2026,2034,False,physionet_hyser,1241,1244,0.999194198227236
encoder_seed_2026,2035,False,emg2pose,1368,1262,0.7807017543859649
encoder_seed_2026,2035,False,emg2qwerty,872,971,0.7740825688073395
encoder_seed_2026,2035,False,harmonic,1466,1466,1.0
encoder_seed_2026,2035,False,ninapro_db10_meganepro,1244,1242,0.9983922829581994
encoder_seed_2026,2035,False,physionet_grabmyo,1298,1300,1.0
encoder_seed_2026,2035,False,physionet_hyser,1291,1298,1.0
encoder_seed_2026,2026,True,emg2pose,1343,1181,0.1466865227103499
encoder_seed_2026,2026,True,emg2qwerty,944,973,0.1853813559322034
